Date,Open,High,Low,Close,Adj Close,Volume
2011-02-01,50.619999,55.919998,49.549999,51.040001,37.995129,992900
2011-03-01,51.380001,51.750000,46.189999,50.910000,37.898346,1439700
2011-04-01,51.060001,53.680000,49.910000,53.549999,39.863598,840700
2011-05-01,53.750000,53.919998,49.470001,51.939999,38.665089,1134300
2011-06-01,51.950001,51.950001,48.360001,51.310001,38.196117,1155100
2011-07-01,51.139999,51.880001,49.080002,50.410000,37.526134,2581100
2011-08-01,51.189999,51.189999,42.480000,46.150002,34.354916,2531000
2011-09-01,46.110001,46.520000,39.250000,40.310001,30.007517,2370400
2011-10-01,39.880001,47.200001,38.020000,44.439999,33.081959,4023800
2011-11-01,43.139999,45.029999,39.220001,43.500000,32.382202,2027600
2011-12-01,43.200001,43.959999,40.000000,40.900002,30.446718,3958800
2012-01-01,41.720001,44.470001,40.820000,43.900002,33.722752,2344400
2012-02-01,44.419998,46.680000,44.380001,45.900002,35.259087,2570900
2012-03-01,46.259998,46.619999,44.110001,45.650002,35.067059,3352100
2012-04-01,45.660000,46.360001,43.259998,44.700001,34.337299,2113500
2012-05-01,44.709999,45.189999,39.410000,39.860001,30.619343,2416600
2012-06-01,39.209999,42.240002,38.810001,42.240002,32.447586,4282500
2012-07-01,42.330002,42.980000,40.220001,42.369999,32.547443,2029400
2012-08-01,42.730000,44.700001,41.630001,43.470001,33.392445,5041700
2012-09-01,43.400002,46.799999,42.919998,44.209999,33.960884,2256300
2012-10-01,44.779999,45.740002,43.820000,44.570000,34.811821,3185500
2012-11-01,44.779999,45.610001,43.029999,45.490002,35.530392,3628800
2012-12-01,45.750000,48.250000,45.450001,47.070000,36.764462,4758500
2013-01-01,47.919998,48.419998,46.930000,48.200001,38.161366,5054500
2013-02-01,48.560001,48.720001,46.830002,47.650002,37.725918,3970400
2013-03-01,47.410000,48.700001,47.279999,47.970001,37.979279,3622400
2013-04-01,47.810001,49.750000,46.849998,49.650002,39.412491,3833000
2013-05-01,49.820000,51.090000,48.009998,48.009998,38.110649,4020200
2013-06-01,48.250000,48.700001,43.919998,45.680000,36.261070,5869000
2013-07-01,46.220001,48.820000,45.299999,47.790001,38.438282,4714300
2013-08-01,48.250000,49.139999,46.860001,46.860001,37.690285,4578700
2013-09-01,47.709999,51.770000,47.480000,50.150002,40.336475,3747900
2013-10-01,50.340000,52.840000,49.570000,51.990002,42.006577,5917600
2013-11-01,51.799999,52.459999,50.619999,52.060001,42.063133,4462500
2013-12-01,52.000000,52.459999,50.299999,52.380001,42.321678,4456400
2014-01-01,51.830002,52.279999,49.250000,49.549999,40.396679,6606100
2014-02-01,49.599998,52.529999,48.599998,52.320000,42.654995,5207400
2014-03-01,51.509998,52.919998,50.520000,52.200001,42.557152,4637200
2014-04-01,52.540001,52.970001,51.220001,52.860001,43.407227,5941900
2014-05-01,52.950001,54.080002,52.580002,53.880001,44.244823,5271500
2014-06-01,54.169998,55.220001,53.700001,54.290001,44.581501,6864500
2014-07-01,54.740002,55.070000,53.330002,53.349998,44.296677,5576600
2014-08-01,53.340000,54.259998,52.110001,53.970001,44.811478,5144600
2014-09-01,53.950001,54.610001,50.820000,51.000000,42.345467,5633300
2014-10-01,50.860001,50.970001,47.000000,50.959999,42.535484,11244000
2014-11-01,50.669998,51.320000,49.740002,50.700001,42.318466,7719000
2014-12-01,50.610001,50.689999,47.099998,48.340000,40.348614,12843400
2015-01-01,48.340000,49.549999,46.610001,48.470001,40.790169,11713600
2015-02-01,48.900002,51.459999,48.740002,51.270000,43.146526,9516500
2015-03-01,51.279999,51.750000,49.009998,50.349998,42.372288,11486000
2015-04-01,50.720001,53.889999,50.389999,52.770000,44.545277,9926100
2015-05-01,53.009998,53.939999,52.060001,52.290001,44.140087,8414900
2015-06-01,52.509998,52.810001,50.160000,50.330002,42.485573,9279100
2015-07-01,50.860001,51.029999,48.099998,50.049999,42.695511,19084800
2015-08-01,49.970001,50.439999,43.110001,46.330002,39.522137,15953400
2015-09-01,45.180000,47.150002,43.049999,44.320000,37.807499,15554800
2015-10-01,44.630001,48.130001,44.080002,47.090000,40.375401,16757400
2015-11-01,47.369999,47.860001,45.509998,46.470001,39.843807,12671300
2015-12-01,46.689999,46.959999,43.980000,45.110001,38.677731,21850000
2016-01-01,44.480000,44.480000,39.320000,42.650002,36.854416,29932300
2016-02-01,42.310001,42.639999,39.410000,41.599998,35.947094,21058000
2016-03-01,42.250000,45.509998,42.189999,44.919998,38.815952,19133900
2016-04-01,44.020000,47.020000,43.410000,45.889999,39.781834,14851700
2016-05-01,46.090000,46.220001,44.090000,45.439999,39.391724,15021000
2016-06-01,45.259998,46.980000,41.599998,44.480000,38.559509,22867000
2016-07-01,44.560001,46.540001,43.070000,46.490002,40.795940,15318200
2016-08-01,46.490002,47.700001,45.669998,46.700001,40.980213,13031900
2016-09-01,46.860001,48.220001,45.759998,47.209999,41.427750,14571800
2016-10-01,47.189999,47.419998,45.570000,46.310001,40.874565,9342500
2016-11-01,46.419998,46.480000,44.680000,45.380001,40.053715,15386500
2016-12-01,45.439999,47.099998,45.139999,45.880001,40.495026,18412700
