Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,49.529999,49.799999,49.070000,49.490002,42.196217,6632600
2013-08-01,49.689999,49.689999,48.919998,49.330002,42.105824,1498400
2013-09-01,49.299999,49.759998,48.509998,49.650002,42.438969,2297400
2013-10-01,49.630001,50.169998,49.299999,50.090000,42.857624,2326800
2013-11-01,50.080002,50.090000,49.799999,50.020000,42.857292,1862600
2013-12-01,49.980000,49.980000,49.529999,49.619999,42.568989,3881500
2014-01-01,49.669998,50.369999,49.549999,50.330002,43.284763,2599100
2014-02-01,50.380001,50.590000,50.070000,50.509998,43.439583,2407800
2014-03-01,50.529999,50.650002,50.310001,50.610001,43.576641,2317600
2014-04-01,50.520000,50.869999,50.369999,50.849998,43.835358,4595100
2014-05-01,50.799999,51.380001,50.750000,51.160000,44.159302,7299500
2014-06-01,51.200001,51.459999,50.900002,51.410000,44.434525,4023100
2014-07-01,51.279999,51.750000,51.200001,51.610001,44.659763,3774200
2014-08-01,51.590000,52.290001,51.529999,52.240002,45.256847,5784300
2014-09-01,52.090000,52.160000,51.740002,52.110001,45.209961,11407700
2014-10-01,52.150002,52.669998,52.060001,52.369999,45.491249,9899700
2014-11-01,52.369999,52.869999,52.250000,52.770000,45.887123,13779900
2014-12-01,52.840000,53.220001,52.400002,53.110001,46.248150,11931100
2015-01-01,53.130001,54.130001,53.130001,54.060001,47.234051,13775200
2015-02-01,54.060001,54.080002,53.360001,53.889999,47.085510,16035700
2015-03-01,53.950001,54.189999,53.450001,54.090000,47.323277,24569400
2015-04-01,54.099998,54.250000,53.349998,53.480000,46.843498,18576700
2015-05-01,53.470001,53.509998,52.470001,53.139999,46.593922,11389800
2015-06-01,53.099998,53.139999,51.970001,52.369999,45.971210,11083100
2015-07-01,52.250000,53.049999,52.000000,52.980000,46.551376,20032000
2015-08-01,52.840000,53.290001,52.560001,52.560001,46.237061,17256800
2015-09-01,52.660000,53.040001,52.500000,52.930000,46.607433,16656800
2015-10-01,53.200001,53.400002,52.799999,53.180000,46.878387,19082900
2015-11-01,53.090000,53.330002,52.540001,53.200001,46.951008,14550800
2015-12-01,53.099998,53.259998,52.660000,52.880001,46.739792,21503900
2016-01-01,52.939999,53.680000,52.849998,53.570000,47.568825,15679900
2016-02-01,53.619999,54.189999,53.439999,54.189999,48.119362,15456100
2016-03-01,54.169998,54.610001,53.790001,54.540001,48.480820,14923800
2016-04-01,54.560001,54.630001,53.919998,54.340000,48.352116,18397000
2016-05-01,54.310001,54.779999,54.250000,54.689999,48.713562,12734000
2016-06-01,54.740002,56.310001,54.630001,55.700001,49.664387,16541700
2016-07-01,55.570000,56.150002,55.529999,56.099998,50.071396,14291600
2016-08-01,56.130001,56.259998,55.590000,56.090000,50.112839,18843500
2016-09-01,55.990002,56.189999,55.330002,56.040001,50.112846,15624600
2016-10-01,55.980000,55.980000,55.169998,55.279999,49.482620,13317600
2016-11-01,55.110001,55.349998,54.230000,54.529999,48.860104,18828000
2016-12-01,54.389999,54.540001,53.939999,54.290001,48.698792,16203200
2017-01-01,54.250000,54.290001,53.570000,53.759998,48.642395,30644500
2017-02-01,53.610001,54.279999,53.560001,54.189999,49.031464,19303600
2017-03-01,54.049999,54.200001,53.590000,54.130001,49.018215,22050600
2017-04-01,54.119999,54.580002,54.070000,54.349998,49.259235,12952100
2017-05-01,54.349998,54.709999,54.150002,54.700001,49.618633,14115600
2017-06-01,54.549999,54.959999,54.310001,54.360001,49.351978,15281000
2017-07-01,54.330002,54.500000,53.959999,54.400002,49.430759,13291700
2017-08-01,54.360001,54.950001,54.360001,54.860001,49.893726,14811300
2017-09-01,54.730000,54.980000,54.459999,54.590000,49.692009,11632200
2017-10-01,54.509998,54.930000,54.389999,54.880001,50.000660,13383500
2017-11-01,54.869999,55.180000,54.810001,54.959999,50.118523,20584300
2017-12-01,54.959999,55.279999,54.230000,54.369999,49.623901,21954400
2018-01-01,54.290001,54.369999,54.049999,54.060001,50.012547,43966600
2018-02-01,54.040001,54.209999,53.840000,54.150002,50.095806,23815600
2018-03-01,54.189999,54.750000,54.049999,54.730000,50.678307,22962700
2018-04-01,54.680000,54.730000,54.400002,54.599998,50.598118,22337500
2018-05-01,54.560001,54.660000,54.220001,54.430000,50.488552,34632800
2018-06-01,54.410000,54.770000,54.060001,54.709999,50.788273,22939700
2018-07-01,54.779999,55.000000,54.599998,54.740002,50.860039,20830300
2018-08-01,54.540001,54.830002,54.470001,54.720001,50.886101,20694600
2018-09-01,54.650002,54.740002,54.419998,54.540001,50.765083,19008700
2018-10-01,54.430000,54.720001,54.099998,54.529999,50.803116,25718400
2018-11-01,54.470001,54.810001,54.400002,54.759998,51.064224,22937300
2018-12-01,54.770000,55.340000,54.060001,54.250000,50.638798,31139300
2019-01-01,54.349998,54.849998,54.070000,54.790001,52.228622,50125600
2019-02-01,54.750000,55.049999,54.680000,54.849998,52.285831,73951200
2019-03-01,54.770000,55.860001,54.740002,55.770000,53.215263,22693500
2019-04-01,55.689999,55.820000,55.430000,55.810001,53.298134,25135600
2019-05-01,55.770000,56.490002,55.709999,56.470001,53.979725,25333300
2019-06-01,56.450001,57.349998,56.430000,57.299999,54.823219,27645300
2019-07-01,57.290001,58.009998,57.220001,57.959999,55.507767,29617000
2019-08-01,57.959999,59.250000,57.930000,59.130001,56.682671,32927000
2019-09-01,59.180000,59.270000,58.070000,58.830002,56.447681,67649200
2019-10-01,58.599998,58.939999,58.110001,58.490002,56.171799,31212100
2019-11-01,58.430000,58.439999,57.740002,58.160000,55.904293,33413200
2019-12-01,57.970001,58.169998,56.520000,56.580002,54.433971,38675200
2020-01-01,56.660000,57.660000,56.639999,57.650002,56.836674,52366400
2020-02-01,57.590000,58.090000,57.330002,57.990002,57.171883,43608200
2020-03-01,57.930000,58.660000,53.889999,56.259998,55.509621,105730000
2020-04-01,56.290001,57.380001,55.930000,57.279999,56.558929,50866900
2020-05-01,57.299999,57.480000,56.950001,57.470001,56.798019,34104400
2020-06-01,57.279999,57.820000,57.029999,57.730000,57.101833,43378500
2020-07-01,57.500000,58.290001,57.450001,58.230000,57.644547,41928900
2020-08-01,58.139999,58.320000,57.700001,57.740002,57.206043,64080300
2020-09-01,57.720001,58.270000,57.700001,58.189999,57.699436,77230400
2020-10-01,58.060001,58.490002,58.060001,58.340000,57.895313,61487000
2020-11-01,58.349998,58.549999,57.980000,58.520000,58.119881,74010600
2020-12-01,58.349998,58.770000,58.240002,58.549999,58.196560,58052000
2021-01-01,58.490002,58.580002,58.130001,58.180000,58.007805,71768900
2021-02-01,58.139999,58.189999,56.720001,57.169998,57.000797,72003200
2021-03-01,57.270000,57.410000,56.900002,57.119999,56.995029,68280000
2021-04-01,57.119999,57.279999,56.880001,56.970001,56.890141,53130700
2021-05-01,56.910000,57.029999,56.590000,56.709999,56.671177,26525800
2021-05-14,56.689999,56.709999,56.650002,56.709999,56.709999,1896337
